Tanggal,Komoditas,Provinsi,Harga
06/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,35833.0
06/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25467.0
07/04/2022,Minyak Goreng Kemasan,Gorontalo,24914.0
07/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23167.0
07/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,24504.0
07/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,28008.0
07/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,35600.0
07/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25667.0
08/04/2022,Minyak Goreng Kemasan,Gorontalo,24877.0
08/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23333.0
08/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,24787.0
08/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,28050.0
08/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,36024.0
08/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25667.0
09/04/2022,Minyak Goreng Kemasan,Gorontalo,25284.0
09/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23500.0
09/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,24065.0
09/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,27300.0
09/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,35262.0
09/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25733.0
10/04/2022,Minyak Goreng Kemasan,Gorontalo,24988.0
10/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,22600.0
10/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,24000.0
10/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,27958.0
10/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,35229.0
10/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,25933.0
11/04/2022,Minyak Goreng Kemasan,Gorontalo,24988.0
11/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,22200.0
11/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,24104.0
11/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,28750.0
11/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,35229.0
11/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26000.0
12/04/2022,Minyak Goreng Kemasan,Gorontalo,25393.0
12/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,22400.0
12/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,24021.0
12/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,28917.0
12/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,35063.0
12/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26571.0
13/04/2022,Minyak Goreng Kemasan,Gorontalo,25393.0
13/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,22400.0
13/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,23808.0
13/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29333.0
13/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,35083.0
13/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26267.0
14/04/2022,Minyak Goreng Kemasan,Gorontalo,25728.0
14/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23500.0
14/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,21105.0
14/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29500.0
14/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,34733.0
14/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26467.0
15/04/2022,Minyak Goreng Kemasan,Gorontalo,25867.0
15/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23000.0
15/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,20825.0
15/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29000.0
15/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,34167.0
15/04/2022,Minyak Goreng Kemasan,Sulawesi Utara,26467.0
16/04/2022,Minyak Goreng Kemasan,Gorontalo,25979.0
16/04/2022,Minyak Goreng Kemasan,Sulawesi Barat,23000.0
16/04/2022,Minyak Goreng Kemasan,Sulawesi Selatan,21350.0
16/04/2022,Minyak Goreng Kemasan,Sulawesi Tengah,29750.0
16/04/2022,Minyak Goreng Kemasan,Sulawesi Tenggara,35188.0
