Tanggal,Komoditas,Provinsi,Harga
07/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
07/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8646.0
07/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10846.0
07/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,9733.0
07/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11133.0
08/04/2022,Tepung Terigu (Curah),Gorontalo,9633.0
08/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
08/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8688.0
08/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10750.0
08/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,9824.0
08/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11067.0
09/04/2022,Tepung Terigu (Curah),Gorontalo,9633.0
09/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
09/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8688.0
09/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10750.0
09/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,9824.0
09/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11133.0
10/04/2022,Tepung Terigu (Curah),Gorontalo,9633.0
10/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
10/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8688.0
10/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10917.0
10/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,9824.0
10/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11133.0
11/04/2022,Tepung Terigu (Curah),Gorontalo,9633.0
11/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
11/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8688.0
11/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10917.0
11/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,9824.0
11/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11300.0
12/04/2022,Tepung Terigu (Curah),Gorontalo,9650.0
12/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
12/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8688.0
12/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10917.0
12/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,9941.0
12/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11233.0
13/04/2022,Tepung Terigu (Curah),Gorontalo,9650.0
13/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
13/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8688.0
13/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10917.0
13/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10062.0
13/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11200.0
14/04/2022,Tepung Terigu (Curah),Gorontalo,9661.0
14/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
14/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8688.0
14/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10846.0
14/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10081.0
14/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11333.0
15/04/2022,Tepung Terigu (Curah),Gorontalo,9661.0
15/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
15/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8688.0
15/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,11000.0
15/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10038.0
15/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11200.0
16/04/2022,Tepung Terigu (Curah),Gorontalo,9661.0
16/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
16/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8667.0
16/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10917.0
16/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10282.0
16/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11333.0
17/04/2022,Tepung Terigu (Curah),Gorontalo,9661.0
17/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
17/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8667.0
17/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10750.0
17/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10282.0
17/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11200.0
18/04/2022,Tepung Terigu (Curah),Gorontalo,9661.0
18/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
18/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8688.0
18/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10894.0
18/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10341.0
18/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11300.0
19/04/2022,Tepung Terigu (Curah),Gorontalo,9661.0
19/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
19/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8708.0
19/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,11076.0
19/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10341.0
19/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11333.0
20/04/2022,Tepung Terigu (Curah),Gorontalo,9661.0
20/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
20/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8708.0
20/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10986.0
20/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10154.0
20/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11333.0
21/04/2022,Tepung Terigu (Curah),Gorontalo,9642.0
21/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
21/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8792.0
21/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10910.0
21/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10120.0
21/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11333.0
22/04/2022,Tepung Terigu (Curah),Gorontalo,9661.0
22/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
22/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8813.0
22/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,11076.0
22/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10165.0
22/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11200.0
23/04/2022,Tepung Terigu (Curah),Gorontalo,9828.0
23/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
23/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8833.0
23/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,11076.0
23/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,9920.0
23/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11267.0
24/04/2022,Tepung Terigu (Curah),Gorontalo,9778.0
24/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
24/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8771.0
24/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,10910.0
24/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10194.0
24/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11300.0
25/04/2022,Tepung Terigu (Curah),Gorontalo,9694.0
25/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
25/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8771.0
25/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,11153.0
25/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10179.0
25/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11133.0
26/04/2022,Tepung Terigu (Curah),Gorontalo,9694.0
26/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
26/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8771.0
26/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,11236.0
26/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10371.0
26/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11433.0
27/04/2022,Tepung Terigu (Curah),Gorontalo,9694.0
27/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9333.0
27/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8848.0
27/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,11153.0
27/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10194.0
27/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11167.0
28/04/2022,Tepung Terigu (Curah),Gorontalo,9861.0
28/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9333.0
28/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8821.0
28/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,11258.0
28/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10194.0
28/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11250.0
29/04/2022,Tepung Terigu (Curah),Gorontalo,9778.0
29/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9333.0
29/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8821.0
29/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,11426.0
29/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10253.0
29/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11433.0
30/04/2022,Tepung Terigu (Curah),Gorontalo,9778.0
30/04/2022,Tepung Terigu (Curah),Sulawesi Barat,9333.0
30/04/2022,Tepung Terigu (Curah),Sulawesi Selatan,8738.0
30/04/2022,Tepung Terigu (Curah),Sulawesi Tengah,11153.0
30/04/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10353.0
30/04/2022,Tepung Terigu (Curah),Sulawesi Utara,11400.0
01/05/2022,Tepung Terigu (Curah),Gorontalo,9861.0
01/05/2022,Tepung Terigu (Curah),Sulawesi Barat,9333.0
01/05/2022,Tepung Terigu (Curah),Sulawesi Selatan,8717.0
01/05/2022,Tepung Terigu (Curah),Sulawesi Tengah,10883.0
01/05/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10206.0
01/05/2022,Tepung Terigu (Curah),Sulawesi Utara,11400.0
02/05/2022,Tepung Terigu (Curah),Gorontalo,9833.0
02/05/2022,Tepung Terigu (Curah),Sulawesi Barat,9500.0
02/05/2022,Tepung Terigu (Curah),Sulawesi Selatan,8814.0
02/05/2022,Tepung Terigu (Curah),Sulawesi Tengah,10750.0
02/05/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10333.0
02/05/2022,Tepung Terigu (Curah),Sulawesi Utara,11393.0
03/05/2022,Tepung Terigu (Curah),Gorontalo,9800.0
03/05/2022,Tepung Terigu (Curah),Sulawesi Barat,9667.0
03/05/2022,Tepung Terigu (Curah),Sulawesi Selatan,8796.0
03/05/2022,Tepung Terigu (Curah),Sulawesi Tengah,11236.0
03/05/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10543.0
03/05/2022,Tepung Terigu (Curah),Sulawesi Utara,11429.0
04/05/2022,Tepung Terigu (Curah),Gorontalo,9794.0
04/05/2022,Tepung Terigu (Curah),Sulawesi Barat,9500.0
04/05/2022,Tepung Terigu (Curah),Sulawesi Selatan,8758.0
04/05/2022,Tepung Terigu (Curah),Sulawesi Tengah,11236.0
04/05/2022,Tepung Terigu (Curah),Sulawesi Tenggara,10194.0
04/05/2022,Tepung Terigu (Curah),Sulawesi Utara,11400.0
05/05/2022,Tepung Terigu (Curah),Gorontalo,9711.0
05/05/2022,Tepung Terigu (Curah),Sulawesi Barat,9167.0
05/05/2022,Tepung Terigu (Curah),Sulawesi Selatan,8758.0
05/05/2022,Tepung Terigu (Curah),Sulawesi Tengah,11000.0
